"No.","Time","Source","Destination","Protocol","Length","Info"
"15562","103.178527000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15563","103.180162000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15565","103.180451000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15566","103.182068000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"15568","103.182345000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"15570","103.184014000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"15572","103.184776000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15574","103.185903000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15575","103.186668000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15577","103.187817000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15578","103.188681000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15580","103.189710000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15581","103.190682000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15583","103.191652000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15584","103.192155000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15586","103.193540000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15587","103.194152000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15589","103.195443000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15590","103.196173000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15592","103.197317000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15593","103.198167000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15595","103.199250000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15596","103.200175000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15598","103.201172000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15599","103.202193000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15601","103.203346000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15602","103.204190000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15604","103.205202000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15605","103.206241000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15607","103.207225000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15608","103.208244000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15610","103.209218000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15611","103.210224000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15613","103.211233000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15614","103.212214000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15616","103.213213000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15617","103.214222000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15619","103.215268000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15620","103.216251000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15622","103.217279000","173.194.28.156","192.168.0.109","TLSv1.2","1416","Application Data"
"15625","103.984888000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15626","103.985737000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15628","103.985937000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15629","103.987684000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15631","103.987860000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15632","103.989660000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15633","103.989663000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15635","103.991578000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15637","103.991747000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15638","103.993446000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15639","103.993451000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15641","103.995355000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15642","103.995358000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15644","103.997224000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15646","103.997393000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15647","103.999187000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15648","103.999191000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15650","104.001069000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15651","104.001072000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15653","104.003080000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15655","104.003312000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15656","104.004891000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15657","104.004895000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15659","104.006814000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15661","104.006992000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15662","104.008686000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15664","104.008864000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15665","104.010674000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15666","104.010677000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15668","104.012459000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15670","104.012637000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15671","104.014489000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15672","104.014493000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15674","104.016394000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15675","104.016400000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15677","104.018309000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15678","104.018313000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15680","104.020138000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15682","104.020325000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15683","104.022114000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
